Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
West,Sandy,Cotton,897.0772391,27.67696637,FALSE,TRUE,Cloudy,122,6.555816258
South,Clay,Rice,992.6732816,18.02614225,TRUE,TRUE,Rainy,140,8.527340906
North,Loam,Barley,147.9980253,29.79404242,FALSE,FALSE,Sunny,106,1.127443336
North,Sandy,Soybean,986.8663313,16.64419019,FALSE,TRUE,Rainy,146,6.517572508
South,Silt,Wheat,730.3791744,31.62068737,TRUE,TRUE,Cloudy,110,7.248251218
South,Silt,Soybean,797.4711824,37.70497447,FALSE,TRUE,Rainy,74,5.898416312
West,Clay,Wheat,357.9023572,31.59343139,FALSE,FALSE,Rainy,90,2.652391665
South,Sandy,Rice,441.1311536,30.887107,TRUE,TRUE,Sunny,61,5.829542349
North,Silt,Wheat,181.5878606,26.75272858,TRUE,FALSE,Sunny,127,2.943716457
West,Sandy,Wheat,395.0489683,17.64619896,FALSE,TRUE,Rainy,140,3.707293127
North,Peaty,Wheat,385.1353145,21.65619173,FALSE,FALSE,Sunny,73,2.56444246
East,Sandy,Cotton,145.3006808,19.75553499,TRUE,TRUE,Cloudy,141,4.367612094
South,Peaty,Cotton,607.150252,15.5621633,TRUE,TRUE,Sunny,136,6.52518616
East,Clay,Barley,929.1237352,29.67730314,FALSE,TRUE,Rainy,134,6.493030752
North,Peaty,Barley,621.7783877,26.84317298,TRUE,FALSE,Rainy,77,4.573219248
East,Chalky,Rice,874.4567441,27.25686896,TRUE,FALSE,Sunny,115,5.839291311
East,Peaty,Wheat,787.0843057,25.67291966,FALSE,FALSE,Cloudy,68,4.36688061
North,Clay,Cotton,416.8986316,23.19081003,TRUE,TRUE,Sunny,95,4.85892438
North,Sandy,Barley,977.2590831,17.60409957,FALSE,TRUE,Sunny,93,5.778099045
South,Clay,Maize,888.2076303,39.94550938,TRUE,FALSE,Rainy,76,7.173036677
East,Clay,Cotton,990.267439,24.07205187,FALSE,TRUE,Sunny,110,6.187396154
West,Loam,Barley,183.9396984,34.22792305,TRUE,FALSE,Cloudy,99,3.017923632
West,Clay,Rice,935.8027653,20.88777425,TRUE,TRUE,Rainy,71,7.756962285
North,Loam,Wheat,824.4399399,29.84743199,FALSE,FALSE,Sunny,100,4.551048007
North,Peaty,Cotton,480.3051868,35.46198556,FALSE,FALSE,Rainy,121,2.939337928
East,Chalky,Maize,170.8144562,29.11637668,FALSE,TRUE,Sunny,133,2.332254904
North,Clay,Wheat,615.3492037,27.7556319,TRUE,FALSE,Rainy,142,4.876587312
West,Silt,Barley,334.7285763,31.13704658,TRUE,TRUE,Sunny,140,4.459294447
South,Silt,Maize,259.4181251,17.26189246,FALSE,FALSE,Sunny,110,2.338540521
South,Loam,Wheat,786.7701031,23.19937137,TRUE,TRUE,Rainy,123,6.93758935
East,Silt,Maize,609.7987642,38.26585114,TRUE,FALSE,Cloudy,127,5.113587741
South,Silt,Rice,476.6827789,29.34104312,TRUE,TRUE,Sunny,67,6.407034489
North,Clay,Wheat,356.8231001,36.5777972,TRUE,FALSE,Cloudy,130,4.007912822
North,Loam,Soybean,600.1997541,20.93536015,TRUE,FALSE,Sunny,75,4.898180753
North,Loam,Rice,180.7203767,18.21203323,FALSE,FALSE,Rainy,83,0.801898157
North,Sandy,Barley,475.7819349,22.94625368,FALSE,FALSE,Rainy,94,3.607496381
East,Clay,Maize,599.8754927,19.90929232,TRUE,FALSE,Cloudy,63,4.696425465
South,Peaty,Cotton,492.5633865,17.20915031,FALSE,TRUE,Cloudy,86,5.627777991
West,Silt,Cotton,841.5627151,17.57187667,TRUE,TRUE,Sunny,98,6.748042937
South,Clay,Barley,808.9816113,36.13054343,TRUE,FALSE,Cloudy,66,6.314786278
North,Peaty,Barley,138.9384998,31.61116417,TRUE,FALSE,Cloudy,139,2.368321659
West,Peaty,Rice,805.701203,29.20012383,TRUE,FALSE,Sunny,145,6.344585381
East,Peaty,Rice,634.1900146,38.45166407,FALSE,FALSE,Sunny,127,4.166930902
North,Silt,Wheat,167.4043561,28.10838919,FALSE,TRUE,Rainy,148,2.968063048
North,Chalky,Cotton,396.9834216,35.0006104,FALSE,TRUE,Sunny,132,4.237604656
West,Silt,Wheat,680.1422119,34.48425673,TRUE,FALSE,Rainy,109,5.984756044
East,Peaty,Barley,844.7742639,30.4937156,FALSE,TRUE,Rainy,142,5.681246362
West,Clay,Rice,801.9406398,28.7622216,FALSE,TRUE,Sunny,124,5.349548891
East,Loam,Maize,695.208413,23.73628527,TRUE,FALSE,Cloudy,139,5.901756682
North,Sandy,Cotton,802.6352974,35.4128459,TRUE,FALSE,Sunny,82,6.654949454
South,Peaty,Rice,378.5520396,38.14194758,TRUE,FALSE,Cloudy,64,4.663436154
North,Clay,Maize,318.0130098,37.38296491,FALSE,TRUE,Rainy,121,4.127029291
South,Loam,Cotton,652.3472833,39.1556963,FALSE,TRUE,Rainy,76,5.493174197
South,Clay,Barley,765.6877927,26.56508717,FALSE,FALSE,Sunny,98,4.762386743
East,Loam,Cotton,617.932319,15.90807448,FALSE,FALSE,Sunny,96,3.968481044
West,Sandy,Maize,224.0687116,38.18668321,FALSE,TRUE,Rainy,132,2.49077655
East,Silt,Rice,896.1353251,30.20211088,FALSE,TRUE,Sunny,131,6.345791482
North,Sandy,Wheat,435.2542293,25.49630625,FALSE,TRUE,Sunny,74,3.190074146
West,Sandy,Soybean,408.219312,21.85221469,FALSE,TRUE,Cloudy,133,4.881093692
South,Chalky,Wheat,960.7875535,15.48704498,FALSE,TRUE,Rainy,132,6.41193074
South,Loam,Rice,965.5279313,19.58387748,FALSE,TRUE,Rainy,92,5.818199697
North,Clay,Maize,348.1310175,37.17467501,TRUE,TRUE,Cloudy,148,5.020292175
West,Loam,Wheat,624.7140209,29.02005232,TRUE,TRUE,Cloudy,145,6.800510487
North,Sandy,Maize,191.1180835,19.54906185,TRUE,FALSE,Cloudy,75,2.13298555
North,Peaty,Cotton,262.9502473,36.93758409,FALSE,TRUE,Sunny,142,3.052371341
East,Peaty,Wheat,724.2630196,27.94708306,FALSE,TRUE,Cloudy,126,5.76206333
North,Chalky,Soybean,997.4083973,16.18883857,TRUE,FALSE,Sunny,139,7.541110605
West,Chalky,Maize,932.5674367,38.30178913,TRUE,FALSE,Rainy,61,5.977477297
North,Clay,Rice,504.3644611,28.89317987,FALSE,TRUE,Cloudy,118,5.074729825
West,Silt,Rice,124.4697966,20.63052475,FALSE,FALSE,Sunny,72,0.805512749
South,Clay,Maize,977.621748,23.76682167,TRUE,TRUE,Sunny,66,7.81158144
North,Peaty,Rice,588.3827165,26.17204271,FALSE,TRUE,Sunny,70,5.236127092
West,Sandy,Soybean,758.6771872,34.31660367,FALSE,FALSE,Rainy,138,4.19602278
South,Clay,Soybean,601.4213463,30.23439558,TRUE,TRUE,Sunny,80,6.383980843
West,Chalky,Maize,257.0681167,18.54140994,TRUE,FALSE,Rainy,103,3.319474067
South,Chalky,Wheat,153.6887358,25.96182924,TRUE,TRUE,Rainy,60,3.306620714
East,Clay,Cotton,620.6111221,29.6172742,TRUE,TRUE,Cloudy,108,6.480058976
North,Peaty,Soybean,928.1585501,35.36808678,FALSE,TRUE,Rainy,137,6.563130381
North,Loam,Wheat,405.7389043,17.46057977,TRUE,FALSE,Rainy,145,4.263799479
South,Peaty,Wheat,252.823624,17.146998,FALSE,FALSE,Sunny,76,0.616611523
East,Peaty,Cotton,325.2218346,24.87562646,TRUE,TRUE,Cloudy,111,5.420033156
West,Silt,Rice,623.7363082,23.31057588,FALSE,TRUE,Sunny,83,4.981891152
East,Sandy,Soybean,462.374318,25.77452626,FALSE,TRUE,Rainy,147,4.604917893
West,Silt,Maize,903.7819488,20.59656506,FALSE,FALSE,Cloudy,128,5.846681798
West,Clay,Barley,175.0386516,23.82745293,TRUE,TRUE,Sunny,89,3.134432137
North,Sandy,Soybean,469.6878461,24.2628872,FALSE,TRUE,Cloudy,146,5.095932565
South,Peaty,Barley,300.3141572,17.57781819,FALSE,TRUE,Sunny,125,1.755992515
North,Loam,Barley,254.9676836,27.06616028,TRUE,TRUE,Sunny,62,5.598945217
North,Sandy,Rice,352.9073702,19.17940396,TRUE,FALSE,Sunny,145,3.619624822
North,Silt,Wheat,154.8523687,36.82693036,FALSE,TRUE,Rainy,90,3.14551411
West,Chalky,Barley,806.5720295,20.81661268,FALSE,TRUE,Cloudy,96,5.653412008
North,Clay,Wheat,153.0168034,26.79696697,FALSE,FALSE,Rainy,69,1.224502431
West,Clay,Barley,309.267305,27.08393492,TRUE,TRUE,Cloudy,88,5.5784995
South,Sandy,Soybean,115.9697619,15.11048629,TRUE,FALSE,Cloudy,102,2.332762546
West,Loam,Wheat,569.9408717,27.55667834,FALSE,TRUE,Sunny,124,4.240602465
West,Sandy,Maize,874.9747777,33.22486926,TRUE,TRUE,Sunny,132,7.657631965
East,Loam,Wheat,768.7936109,30.91000164,FALSE,FALSE,Cloudy,89,4.562419624
North,Loam,Wheat,564.0187603,39.56973317,FALSE,FALSE,Cloudy,149,4.026689435
North,Sandy,Maize,432.4027528,26.29321813,TRUE,FALSE,Cloudy,78,3.631689271
North,Sandy,Maize,607.0083551,35.30531204,FALSE,FALSE,Rainy,73,3.626501342
North,Peaty,Rice,876.1770056,20.89020223,TRUE,FALSE,Sunny,148,5.934911999
East,Peaty,Soybean,759.4729271,25.20865069,FALSE,TRUE,Sunny,61,4.836727029
East,Silt,Maize,207.9256707,34.01824557,FALSE,TRUE,Cloudy,145,3.001758995
East,Loam,Rice,153.9277206,27.111641,TRUE,TRUE,Sunny,149,3.513220355
East,Chalky,Wheat,293.3722635,16.81147059,TRUE,FALSE,Sunny,123,3.482536596
North,Peaty,Maize,532.7259782,39.492362,FALSE,FALSE,Rainy,96,3.517322553
West,Chalky,Maize,457.9632768,26.39824881,TRUE,TRUE,Sunny,109,5.168214962
South,Clay,Cotton,544.4364898,31.79751229,FALSE,FALSE,Rainy,70,2.994190947
East,Chalky,Barley,604.5851306,36.91617628,TRUE,FALSE,Sunny,131,5.54609658
West,Clay,Wheat,133.1893411,27.79840098,TRUE,FALSE,Rainy,147,2.465217641
East,Peaty,Soybean,600.28357,39.67114581,FALSE,TRUE,Sunny,125,4.631429377
North,Clay,Soybean,408.6791918,31.61257335,FALSE,FALSE,Rainy,95,3.050042091
North,Loam,Wheat,769.7255412,24.89414114,TRUE,FALSE,Cloudy,111,6.1174877
West,Silt,Rice,992.5621553,36.14068672,FALSE,TRUE,Sunny,83,7.414459291
West,Sandy,Cotton,937.3220437,26.21135513,TRUE,TRUE,Cloudy,67,7.66237209
West,Chalky,Wheat,438.3809948,28.87887305,TRUE,TRUE,Sunny,114,5.303775382
North,Clay,Barley,613.5724767,17.79916462,FALSE,FALSE,Cloudy,90,3.684148245
North,Peaty,Barley,783.1492075,25.00899116,FALSE,FALSE,Cloudy,68,4.806494806
South,Loam,Rice,965.0346664,29.70896332,TRUE,FALSE,Cloudy,74,5.727636882
West,Silt,Rice,650.211304,21.36375184,TRUE,FALSE,Sunny,82,4.746040737
South,Chalky,Barley,266.0016257,15.38429894,FALSE,FALSE,Cloudy,106,2.37455308
East,Peaty,Maize,825.8191756,33.6649605,FALSE,TRUE,Cloudy,116,6.732700266
South,Sandy,Maize,858.4998401,23.35944287,FALSE,FALSE,Sunny,136,3.953928978
East,Loam,Soybean,269.2364778,26.23879876,TRUE,FALSE,Rainy,95,3.608762807
East,Chalky,Maize,861.7907437,19.94429823,TRUE,TRUE,Cloudy,134,7.696239337
South,Silt,Maize,590.005968,18.31698309,TRUE,TRUE,Sunny,74,5.471494658
West,Silt,Barley,947.867478,21.47318399,TRUE,TRUE,Cloudy,65,8.503708245
East,Silt,Soybean,633.4764319,32.35147777,TRUE,TRUE,Sunny,109,7.414892517
West,Silt,Maize,946.6788966,35.04469112,FALSE,TRUE,Sunny,74,7.306644784
North,Clay,Wheat,849.2031918,15.30713094,FALSE,FALSE,Rainy,96,4.593409046
East,Clay,Soybean,731.1846783,31.72812393,TRUE,FALSE,Cloudy,94,6.209837983
North,Chalky,Soybean,805.3101629,38.18831316,TRUE,TRUE,Cloudy,123,6.70886773
South,Chalky,Wheat,712.2092165,25.61938131,FALSE,FALSE,Cloudy,134,3.37181084
West,Silt,Barley,811.6552749,19.78123523,TRUE,FALSE,Cloudy,114,5.326367101
South,Sandy,Barley,838.8717355,21.33565957,TRUE,FALSE,Rainy,109,5.617218386
East,Peaty,Rice,158.6346299,36.61073214,TRUE,TRUE,Cloudy,99,4.935669713
North,Clay,Barley,135.0177594,24.28726989,FALSE,FALSE,Sunny,109,1.875927515
East,Sandy,Maize,321.3157766,33.78888399,FALSE,FALSE,Sunny,126,2.180200453
